m_seller_2_s2_1090,b2,n_seller_2_s2_1437,m,b1,n,b3,m_seller_2_s2_2109,m_seller_2_s2_4130,m_seller_3_s3_2256,m_seller_5_s5_1523,n_seller_5_s5_1488,m_seller_5_s5_4375,n_seller_4_s4_214,n_seller_4_s4_3028
64.75,51,40.857142857142854,144,84,191,61,44.75,45.0,37.42857142857143,37.714285714285715,48.0,60.142857142857146,62.5,69.5
69.0,97,48.375,38,92,113,93,52.0,79.0,52.2,56.833333333333336,73.16666666666667,52.166666666666664,68.0,45.25
69.375,44,39.0,116,93,154,74,47.5,42.5,39.75,65.0,18.5,38.333333333333336,28.0,36.0
40.0,29,35.75,40,16,12,99,44.0,54.5,57.0,79.14285714285714,53.5,46.714285714285715,42.111111111111114,48.22222222222222
57.666666666666664,25,53.4,74,33,155,71,52.0,34.333333333333336,76.0,50.166666666666664,73.4,51.5,42.5,38.166666666666664
68.0,44,41.714285714285715,130,98,83,71,42.5,44.75,47.666666666666664,63.5,70.5,41.0,36.36363636363637,32.81818181818182
40.76923076923077,94,49.0,137,17,117,60,42.38461538461539,49.38461538461539,65.0,85.33333333333333,55.55555555555556,51.333333333333336,58.4,59.6
59.142857142857146,22,55.333333333333336,170,62,111,40,48.285714285714285,38.714285714285715,32.666666666666664,43.0,42.0,53.5,45.0,62.0
39.2,90,59.6,69,49,0,39,63.0,39.8,66.66666666666667,40.666666666666664,47.25,85.0,50.5,41.0
57.8,65,57.166666666666664,80,50,125,37,49.4,33.2,31.571428571428573,42.0,49.666666666666664,60.166666666666664,41.25,53.25
44.0,97,35.75,176,49,12,98,59.0,35.333333333333336,43.0,54.0,53.5,47.2,42.111111111111114,48.22222222222222
79.0,64,60.0,35,64,19,40,79.5,51.5,40.666666666666664,12.25,40.666666666666664,55.75,39.666666666666664,9.666666666666666
38.111111111111114,28,31.5,155,16,74,67,39.333333333333336,59.0,27.0,40.8,38.875,45.4,50.4,25.6
9.0,8,41.666666666666664,49,6,32,9,47.0,71.0,45.833333333333336,22.0,42.5,55.333333333333336,78.0,59.0
52.0,65,44.875,28,56,100,76,32.4,56.8,62.75,48.666666666666664,44.0,32.833333333333336,45.125,36.875
31.0,42,47.6,127,55,128,98,39.5,16.5,35.6,41.55555555555556,53.75,50.44444444444444,32.8,51.8
30.22222222222222,8,43.0,77,26,31,2,46.111111111111114,54.44444444444444,52.8,74.0,55.833333333333336,67.33333333333333,45.0,63.6
39.4,13,47.6,114,3,128,61,56.0,75.6,68.25,42.0,53.75,91.0,32.8,51.8
49.25,56,55.333333333333336,82,72,111,72,41.75,60.75,47.0,50.166666666666664,42.0,58.166666666666664,45.0,62.0
45.833333333333336,11,54.857142857142854,6,65,37,95,57.0,64.5,46.5,52.142857142857146,24.5,41.42857142857143,40.75,22.75
59.4,90,50.333333333333336,15,40,109,24,66.6,54.4,58.8,66.75,59.333333333333336,37.25,61.0,66.5
